timestamp,exercise_type,shoulder_height_diff,hip_height_diff,knee_height_diff,ankle_height_diff,elbow_height_diff,wrist_height_diff,ear_height_diff,squat_angle,plank_angle,left_shoulder_x,left_shoulder_y,right_shoulder_y,right_shoulder_x,left_hip_x,left_hip_y,right_hip_x,right_hip_y,left_knee_x,left_knee_y,right_knee_y,right_knee_x,left_ankle_x,left_ankle_y,right_ankle_x,right_ankle_y,left_elbow_x,left_elbow_y,right_elbow_x,right_elbow_y,left_wrist_x,left_wrist_y,right_wrist_x,right_wrist_y,left_ear_x,left_ear_y,right_ear_x,right_ear_y,""
1761241909013,SQUAT,39.974518,11.442749,11.863586,9.595764,62.44748,23.58075,15.983276,NaN,NaN,327.4074,239.71016,199.73564,243.86398,278.28137,352.15796,224.99701,340.7152,273.16785,454.3374,442.47382,187.46738,262.6176,556.7405,196.25598,547.1447,326.10852,318.21686,201.96967,255.76938,308.6511,265.75558,252.7912,242.17484,321.84894,176.12663,290.14984,160.14336,
1761241909097,SQUAT,42.545364,13.056885,14.6579895,12.260254,72.71512,25.354904,15.348221,NaN,NaN,327.40503,245.9806,203.43524,245.67094,275.39673,355.1819,225.66403,342.125,274.07623,458.10828,443.4503,183.84502,260.79718,556.3668,195.5094,544.10657,327.34833,331.96194,204.26633,259.24683,307.75983,270.02026,257.9756,244.66536,322.25604,182.23383,291.94235,166.8856,
1761241909189,SQUAT,36.344315,10.00296,17.064423,8.0271,58.269287,57.032745,15.88945,NaN,NaN,323.87375,252.01791,215.6736,243.79427,273.95306,361.45663,223.84114,351.45367,275.64398,465.39844,448.334,181.3482,261.58386,555.3779,195.2646,547.3508,329.1997,326.02417,203.35721,267.75488,310.6308,308.27264,257.16003,251.2399,320.76367,191.89319,290.84677,176.00374,
1761241909262,SQUAT,33.980072,11.259644,17.856934,7.9611816,48.507904,73.44258,13.056564,NaN,NaN,321.78354,256.6444,222.66434,242.21077,273.77722,365.9635,223.8968,354.70386,275.16592,464.2976,446.44067,178.0131,263.04474,552.9817,194.73058,545.0205,327.616,324.01108,206.36938,275.50317,316.80145,326.18497,265.14072,252.74239,318.76425,198.6605,292.99756,185.60394,
1761241909342,SQUAT,31.92836,8.5563965,13.442413,8.920776,45.54077,92.51938,14.9040985,NaN,NaN,317.35483,262.0995,230.17113,242.59103,272.19067,370.4759,223.74933,361.9195,277.4203,459.3889,445.94647,176.41849,263.23895,553.0852,194.05624,544.1644,321.07,327.49356,206.41127,281.9528,327.29608,349.9014,265.93466,257.38202,318.02603,209.36111,292.51093,194.45702,
1761241909419,SQUAT,37.03763,11.636078,12.21936,7.426758,52.86615,26.167206,11.955704,NaN,NaN,314.44714,274.2882,237.25058,242.07756,270.75165,376.82755,223.27281,365.19147,276.54007,458.4438,446.22443,176.46622,262.6439,553.4878,193.96564,546.06104,321.6655,342.70703,204.26834,289.84088,300.63565,290.98062,263.28964,264.81342,315.73276,219.46501,290.30316,207.50931,
1761241909504,SQUAT,35.952408,11.960754,22.613983,9.55072,58.675964,23.604736,11.903473,NaN,NaN,320.00153,286.76617,250.81377,243.43457,270.4943,387.29187,223.30215,375.33112,271.81512,474.15912,451.54514,173.1206,263.47626,556.7291,194.24864,547.1784,329.11978,358.3847,198.63585,299.70874,297.27042,296.73917,261.01587,273.13443,313.77527,234.54993,288.12122,222.64645,
1761241909587,SQUAT,27.046234,11.700287,16.786621,11.5755005,52.914307,16.168488,6.3332825,NaN,NaN,318.85132,300.60474,273.5585,245.12271,269.359,396.2071,223.34125,384.5068,271.72238,467.11304,450.32642,174.08562,263.2319,556.22205,191.41414,544.64655,325.66144,368.16486,196.45724,315.25055,295.202,307.06433,257.51404,290.89584,309.5441,246.94305,290.46655,240.60977,
1761241909667,SQUAT,34.21231,12.303528,21.126862,13.70636,60.278564,23.280823,8.264648,NaN,NaN,322.48242,320.92493,286.71262,242.242,268.2862,407.5675,222.31381,395.26398,270.99814,473.77856,452.6517,170.37009,262.18716,557.34827,192.49524,543.6419,317.47583,388.46594,190.18427,328.18738,289.39078,328.82352,256.37466,305.5427,311.09546,267.16748,287.20502,258.90283,
1761241909740,SQUAT,32.003326,13.91153,25.902435,13.597778,56.94998,22.68396,8.834778,NaN,NaN,319.6493,328.91528,296.91196,244.52185,266.59006,416.87842,222.10675,402.9669,276.24875,482.12952,456.22708,168.50758,262.19907,559.5725,191.43175,545.97473,314.26727,394.478,196.3173,337.528,286.31442,341.6391,260.06354,318.95514,312.39133,277.04587,284.28714,268.2111,
